method,episode,env_idx,steps,ep_return,success,safety_violations,failures_detected,recoveries_attempted,recoveries_succeeded,time_to_recover,planning_ms,wall_clock_s
gatsr_no_rec,1,2,67,-3.1932036876678467,0,0,11,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,3,63,-3.375824451446533,0,0,10,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,4,68,-3.4100565910339355,0,0,10,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,5,67,-3.5856547355651855,0,0,10,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,6,65,-3.5397322177886963,0,0,9,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,7,63,-3.4507133960723877,0,0,11,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,8,67,-3.2108917236328125,0,0,10,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,9,65,-3.0053927898406982,0,0,11,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,10,57,-3.919992685317993,0,0,8,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,11,64,-3.602125883102417,0,0,8,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,12,70,-4.048467636108398,0,0,9,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,13,64,-3.441039562225342,0,0,10,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,14,67,-3.208930015563965,0,0,9,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,1,15,66,-3.634514570236206,0,0,9,0,0,-1.0,5.813288569749732,3.0929557000054047
gatsr_no_rec,2,0,66,-3.588315486907959,0,0,9,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,1,65,-3.5575006008148193,0,0,9,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,2,63,-3.6861846446990967,0,0,9,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,3,63,-3.735429048538208,0,0,9,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,4,62,-3.5719118118286133,0,0,9,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,5,69,-3.0908150672912598,0,0,11,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,6,67,-3.537872076034546,0,0,8,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,7,63,-3.279022693634033,0,0,10,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,8,67,-3.4654171466827393,0,0,11,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,9,67,-3.422128677368164,0,0,10,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,10,59,-3.776435136795044,0,0,9,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,11,60,-3.6715471744537354,0,0,8,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,12,57,-4.339513778686523,0,0,8,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,13,65,-3.611380100250244,0,0,10,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,14,66,-3.176297187805176,0,0,10,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_no_rec,2,15,62,-3.5397205352783203,0,0,10,0,0,-1.0,7.568514493354798,3.466969800007064
gatsr_full,0,0,62,-3.8936233520507812,0,15,10,1,1,16.0,5.13034493011166,2.8289327999809757
gatsr_full,0,1,60,-3.9501097202301025,0,18,11,1,1,18.0,5.13034493011166,2.8289327999809757
gatsr_full,0,2,60,-3.9691476821899414,0,14,11,2,2,8.5,5.13034493011166,2.8289327999809757
gatsr_full,0,3,69,-3.744565486907959,0,16,14,1,0,-1.0,5.13034493011166,2.8289327999809757
gatsr_full,0,4,65,-4.257660388946533,0,16,13,1,1,17.0,5.13034493011166,2.8289327999809757
gatsr_full,0,5,69,-3.8027403354644775,0,17,14,1,0,-1.0,5.13034493011166,2.8289327999809757
gatsr_full,0,6,63,-3.7632009983062744,0,17,12,1,1,17.0,5.13034493011166,2.8289327999809757
gatsr_full,0,7,64,-4.160094738006592,0,15,15,3,3,6.0,5.13034493011166,2.8289327999809757
gatsr_full,0,8,64,-3.697934627532959,0,17,11,1,1,16.0,5.13034493011166,2.8289327999809757
gatsr_full,0,9,65,-3.6833572387695312,0,17,10,1,1,17.0,5.13034493011166,2.8289327999809757
gatsr_full,0,10,57,-3.9617526531219482,0,17,9,1,1,16.0,5.13034493011166,2.8289327999809757
gatsr_full,0,11,63,-4.287934303283691,0,16,12,1,1,16.0,5.13034493011166,2.8289327999809757
gatsr_full,0,12,58,-3.918745756149292,0,14,13,4,4,4.5,5.13034493011166,2.8289327999809757
gatsr_full,0,13,66,-3.835601568222046,0,16,11,2,2,9.0,5.13034493011166,2.8289327999809757
gatsr_full,0,14,65,-3.753091812133789,0,13,10,1,1,15.0,5.13034493011166,2.8289327999809757
gatsr_full,0,15,65,-3.806818962097168,0,16,12,1,1,17.0,5.13034493011166,2.8289327999809757
gatsr_full,1,0,63,-4.133620738983154,0,17,13,3,3,6.666666666666667,5.178435293012573,2.8372757000033744
