method,seed,ood_level,episode,steps,ep_return,success,failures_detected,recoveries_attempted,recoveries_succeeded,safety_violations,time_to_recover,planning_ms
mppi,2,0.5,2,42,-78.2089069242035,0,0,0,0,0,-1.0,19.913404761436617
mppi,2,0.5,3,47,-72.95448649971927,0,0,0,0,0,-1.0,18.24445532080024
mppi,2,0.5,4,43,-64.76858868964766,0,0,0,0,0,-1.0,18.196353495261782
mppi,2,0.5,5,51,-16.8847460088749,0,0,0,0,0,-1.0,18.690229416368346
mppi,2,0.5,6,44,-64.8804414979515,0,0,0,0,0,-1.0,18.218468184138395
mppi,2,0.5,7,60,29.807497669254005,0,0,0,0,0,-1.0,18.0698550005521
mppi,2,0.5,8,47,-61.80497392144555,0,0,0,0,0,-1.0,18.76492766252263
mppi,2,0.5,9,37,-32.77090471400331,0,0,0,0,0,-1.0,18.250491888564383
mppi,2,1.0,0,35,-78.93195855751358,0,0,0,0,0,-1.0,19.73297714555104
mppi,2,1.0,1,44,-68.13588551551128,0,0,0,0,0,-1.0,20.998147731668062
mppi,2,1.0,2,40,-79.62323055945988,0,0,0,0,0,-1.0,17.406647493771743
mppi,2,1.0,3,51,-71.49066306552277,0,0,0,0,0,-1.0,16.668841176593276
mppi,2,1.0,4,42,-65.45368030591145,0,0,0,0,0,-1.0,17.77761905188007
mppi,2,1.0,5,44,-21.34184648644002,0,0,0,0,0,-1.0,17.424761356034484
mppi,2,1.0,6,49,-61.840916579901155,0,0,0,0,0,-1.0,16.866612249310602
mppi,2,1.0,7,53,25.570856179878206,0,0,0,0,0,-1.0,15.757547173086765
mppi,2,1.0,8,43,-65.13777064026652,0,0,0,0,0,-1.0,15.74459302693952
mppi,2,1.0,9,68,-8.942690517210053,0,0,0,0,0,-1.0,16.6041661731844
td_mpc2_lite,0,0.0,0,53,-61.97727445702441,0,0,0,0,0,-1.0,17.647518864217794
td_mpc2_lite,0,0.0,1,62,-53.1994774947593,0,0,0,0,0,-1.0,16.32918064828001
td_mpc2_lite,0,0.0,2,41,-75.3046095670721,0,0,0,0,0,-1.0,15.821556099292982
td_mpc2_lite,0,0.0,3,45,-66.59381286898876,0,0,0,0,0,-1.0,16.230482217441832
td_mpc2_lite,0,0.0,4,53,-71.95011605499735,0,0,0,0,0,-1.0,16.387254716872395
td_mpc2_lite,0,0.0,5,51,-71.2135399957844,0,0,0,0,0,-1.0,17.503786276268098
td_mpc2_lite,0,0.0,6,48,-60.910998568995595,0,0,0,0,0,-1.0,16.458985418770073
td_mpc2_lite,0,0.0,7,44,-21.208247732048775,0,0,0,0,0,-1.0,15.922754546574486
td_mpc2_lite,0,0.0,8,46,-63.49371142983408,0,0,0,0,0,-1.0,16.47742173593977
td_mpc2_lite,0,0.0,9,84,52.87469137132133,0,0,0,0,0,-1.0,16.110913097647774
td_mpc2_lite,0,0.5,0,53,-61.61348110727396,0,0,0,0,0,-1.0,16.56573395934483
td_mpc2_lite,0,0.5,1,52,-60.330520640024815,0,0,0,0,0,-1.0,20.13813076840821
td_mpc2_lite,0,0.5,2,35,-78.84062119482294,0,0,0,0,0,-1.0,17.77567714120128
td_mpc2_lite,0,0.5,3,42,-68.58300312395284,0,0,0,0,0,-1.0,16.471654758788645
td_mpc2_lite,0,0.5,4,50,-73.97747736871113,0,0,0,0,0,-1.0,16.041895996313542
td_mpc2_lite,0,0.5,5,46,-74.29216713623734,0,0,0,0,0,-1.0,15.737773904971698
td_mpc2_lite,0,0.5,6,42,-65.82296898883155,0,0,0,0,0,-1.0,18.43275000213734
td_mpc2_lite,0,0.5,7,41,-22.628239602748636,0,0,0,0,0,-1.0,18.569319506130384
td_mpc2_lite,0,0.5,8,43,-66.07183084061803,0,0,0,0,0,-1.0,17.490367445726555
td_mpc2_lite,0,0.5,9,65,37.041083046943726,0,0,0,0,0,-1.0,19.04435077091106
td_mpc2_lite,0,1.0,0,51,-62.70959066929953,0,0,0,0,0,-1.0,19.30372548796346
td_mpc2_lite,0,1.0,1,54,-58.72778661543567,0,0,0,0,0,-1.0,17.717490746656917
td_mpc2_lite,0,1.0,2,33,-80.23962807128213,0,0,0,0,0,-1.0,16.749878789679233
td_mpc2_lite,0,1.0,3,44,-67.93331908337139,0,0,0,0,0,-1.0,21.70113863725088
td_mpc2_lite,0,1.0,4,46,-76.30594484756394,0,0,0,0,0,-1.0,19.75274130413511
td_mpc2_lite,0,1.0,5,47,-74.38151266885878,0,0,0,0,0,-1.0,20.497378723527444
td_mpc2_lite,0,1.0,6,42,-65.67670067911936,0,0,0,0,0,-1.0,22.504847624250466
td_mpc2_lite,0,1.0,7,37,-25.653676865930095,0,0,0,0,0,-1.0,20.644135128178107
td_mpc2_lite,0,1.0,8,41,-68.1229434052845,0,0,0,0,0,-1.0,19.411439020697756
td_mpc2_lite,0,1.0,9,60,33.9453559473519,0,0,0,0,0,-1.0,20.804675004910678
td_mpc2_lite,1,0.0,0,43,-67.23629145240673,0,0,0,0,0,-1.0,18.251288368171732
td_mpc2_lite,1,0.0,1,47,-72.56238454033783,0,0,0,0,0,-1.0,16.9088276638154
td_mpc2_lite,1,0.0,2,52,-62.04088185150236,0,0,0,0,0,-1.0,17.348421158833215
td_mpc2_lite,1,0.0,3,49,-74.71405650258538,0,0,0,0,0,-1.0,23.9171551003558
td_mpc2_lite,1,0.0,4,49,-73.40102253040207,0,0,0,0,0,-1.0,17.861973464593518
td_mpc2_lite,1,0.0,5,61,-50.6666357322642,0,0,0,0,0,-1.0,17.11179672541921
td_mpc2_lite,1,0.0,6,56,-13.536487217073656,0,0,0,0,0,-1.0,17.472507145222544
td_mpc2_lite,1,0.0,7,60,-52.97886527837205,0,0,0,0,0,-1.0,17.027819999687683
td_mpc2_lite,1,0.0,8,84,48.79601228754197,0,0,0,0,0,-1.0,14.97632738582546
td_mpc2_lite,1,0.0,9,47,-62.655614532922115,0,0,0,0,0,-1.0,14.698448938941782
td_mpc2_lite,1,0.5,0,42,-68.13052948725482,0,0,0,0,0,-1.0,14.756957142491869
td_mpc2_lite,1,0.5,1,35,-79.1683639069344,0,0,0,0,0,-1.0,14.883300001799528
td_mpc2_lite,1,0.5,2,45,-66.88951818706595,0,0,0,0,0,-1.0,14.760480002344897
td_mpc2_lite,1,0.5,3,45,-76.47299230108455,0,0,0,0,0,-1.0,14.022722227188448
